,id,category,car_make,car_model,car_year,section_width,aspect_ratio,rim_size,created_at,updated_at,width,diameter
0,1,SUV,TOYOTA,,2022,265,70,R17,2022-12-01 16:13:00,,265,R17
1,2,SUV,TOYOTA,,2022,245,60,R20,2022-12-01 16:13:00,,245,R20
2,3,SUV,TOYOTA,,2022,245,70,R17,2022-12-01 16:13:00,,245,R17
3,4,SUV,TOYOTA,,2022,265,60,R18,2022-12-01 16:13:00,,265,R18
4,5,SUV,TOYOTA,,2021,265,70,R17,2022-12-01 16:13:00,,265,R17
5,6,SUV,TOYOTA,,2021,245,60,R20,2022-12-01 16:13:00,,245,R20
6,7,SUV,TOYOTA,,2021,245,70,R17,2022-12-01 16:13:00,,245,R17
7,8,SUV,TOYOTA,,2021,265,60,R18,2022-12-01 16:13:00,,265,R18
8,9,SUV,TOYOTA,,2020,265,70,R17,2022-12-01 16:13:00,,265,R17
9,10,SUV,TOYOTA,,2020,245,60,R20,2022-12-01 16:13:00,,245,R20
10,11,SUV,TOYOTA,,2020,245,70,R17,2022-12-01 16:13:00,,245,R17
11,12,SUV,TOYOTA,,2020,265,60,R18,2022-12-01 16:13:00,,265,R18
12,13,SUV,TOYOTA,,2019,265,70,R17,2022-12-01 16:13:00,,265,R17
13,14,SUV,TOYOTA,,2019,245,60,R20,2022-12-01 16:13:00,,245,R20
14,15,SUV,TOYOTA,,2019,245,70,R17,2022-12-01 16:13:00,,245,R17
15,16,SUV,TOYOTA,,2019,265,60,R18,2022-12-01 16:13:00,,265,R18
16,17,SUV,TOYOTA,,2018,265,70,R17,2022-12-01 16:13:00,,265,R17
17,18,SUV,TOYOTA,,2018,245,60,R20,2022-12-01 16:13:00,,245,R20
18,19,SUV,TOYOTA,,2018,245,70,R17,2022-12-01 16:13:00,,245,R17
19,20,SUV,TOYOTA,,2018,265,60,R18,2022-12-01 16:13:00,,265,R18
20,21,SUV,TOYOTA,,2017,265,70,R17,2022-12-01 16:13:00,,265,R17
21,22,SUV,TOYOTA,,2017,245,60,R20,2022-12-01 16:13:00,,245,R20
22,23,SUV,TOYOTA,,2017,245,70,R17,2022-12-01 16:13:00,,245,R17
23,24,SUV,TOYOTA,,2017,265,60,R18,2022-12-01 16:13:00,,265,R18
24,25,SUV,TOYOTA,,2016,265,70,R17,2022-12-01 16:13:00,,265,R17
25,26,SUV,TOYOTA,,2016,245,60,R20,2022-12-01 16:13:00,,245,R20
26,27,SUV,TOYOTA,,2016,245,70,R17,2022-12-01 16:13:00,,245,R17
27,28,SUV,TOYOTA,,2016,265,60,R18,2022-12-01 16:13:00,,265,R18
28,29,SUV,TOYOTA,,2015,265,70,R17,2022-12-01 16:13:00,,265,R17
29,30,SUV,TOYOTA,,2015,245,60,R20,2022-12-01 16:13:00,,245,R20
30,31,SUV,TOYOTA,,2014,265,70,R17,2022-12-01 16:13:00,,265,R17
31,32,SUV,TOYOTA,,2014,245,60,R20,2022-12-01 16:13:00,,245,R20
32,33,SUV,TOYOTA,,2013,265,70,R17,2022-12-01 16:13:00,,265,R17
33,34,SUV,TOYOTA,,2013,245,60,R20,2022-12-01 16:13:00,,245,R20
34,35,SUV,TOYOTA,,2012,265,70,R17,2022-12-01 16:13:00,,265,R17
35,36,SUV,TOYOTA,,2012,245,60,R20,2022-12-01 16:13:00,,245,R20
36,37,SUV,TOYOTA,,2011,265,70,R17,2022-12-01 16:13:00,,265,R17
37,38,SUV,TOYOTA,,2011,245,60,R20,2022-12-01 16:13:00,,245,R20
38,39,SUV,TOYOTA,,2010,265,70,R17,2022-12-01 16:13:00,,265,R17
39,40,SUV,TOYOTA,,2010,245,60,R20,2022-12-01 16:13:00,,245,R20
40,41,SUV,TOYOTA,,2009,265,70,R16,2022-12-01 16:13:00,,265,R16
41,42,SUV,TOYOTA,,2009,265,65,R17,2022-12-01 16:13:00,,265,R17
42,43,SUV,TOYOTA,,2009,265,60,R18,2022-12-01 16:13:00,,265,R18
